AAPL;
MSFT;
AMZN;
TSLA;
GOOGL;
GOOG;
FB;
NVDA;
UNH;
JNJ;
BRKB;
XOM;
PG;
JPM;
V;
NESN;
HD;
MA;
CVX;
BAC;
PFE;
KO;
ABBV;
ROG;
AVGO;
PEP;
COST;
LLY;
WMT;
ASML;
TMO;
MRK;
CSCO;
SHEL;
DIS;B
ABT;
AZN;
ADBE;
VZ;
ACN;
MCD;
NOVN;
CMCSA;
INTC;
NOVO;B
WFC;
7203;
CRM;
MC;
BHP;
BMY;
QCOM;
LIN;
DHR;
AMD;
TXN;
NKE;
PM;
UNP;
RY;
RTX;
NEE;
T;
MDT;
HON;
LOW;
COP;
AMGN;
UPS;
TD;
CVS;
HSBA;
TTE;
SPGI;
ORCL;
CBA;
ANTM;
IBM;
INTU;
CAT;
MS;
SAN;
1299;
AXP;
ULVR;
DE;
TGT;
DGE;
PLD;
AMT;
GSK;
LMT;
6758;
GS;
AMAT;
C;
MO;
BP.;
SCHW;
PYPL;
