ticker,present_period,win_made,lost_made,giveup_made,win_percentage,profit,capital
['AAPL;'],1y,3,1,0,0.75,88.59288242885049,1000
['AAPL;'],5y,15,8,0,0.6521739130434783,153.05824770246272,1000
['AAPL;'],10y,25,18,0,0.5813953488372093,120.85784503391858,1000
['AAPL;'],20y,46,36,3,0.5411764705882353,119.45385267393988,1000
['MSFT;'],1y,1,3,0,0.25,-62.87997000558022,1000
['MSFT;'],5y,11,11,1,0.4782608695652174,14.841396168300037,1000
['MSFT;'],10y,21,16,3,0.525,159.55104915073932,1000
['MSFT;'],20y,35,31,8,0.47297297297297297,39.32905876977097,1000
['AMZN;'],1y,0,4,0,0,0.0,1000
['AMZN;'],5y,11,11,0,0.5,29.354291643415195,1000
['AMZN;'],10y,25,23,0,0.5208333333333334,95.75139508928581,1000
['AMZN;'],20y,48,39,4,0.5274725274725275,768.7154558454243,1000
['TSLA;'],1y,4,1,0,0.8,126.26854596819203,1000
['TSLA;'],5y,15,8,0,0.6521739130434783,578.4773777553013,1000
['TSLA;'],10y,24,17,2,0.5581395348837209,822.9778813259943,1000
['TSLA;'],20y,26,18,2,0.5652173913043478,867.1207792043688,1000
['GOOGL;'],1y,2,3,0,0.4,0.0,1000
['GOOGL;'],5y,14,11,1,0.5384615384615384,-3.297136579241055,1000
['GOOGL;'],10y,28,21,1,0.56,36.468719482421534,1000
['GOOGL;'],20y,43,38,3,0.5119047619047619,-71.33109839303185,1000
['GOOG;'],1y,3,3,0,0.5,0.0,1000
['GOOG;'],5y,16,10,1,0.5925925925925926,-5.748979840959919,1000
['GOOG;'],10y,29,22,1,0.5576923076923077,-5.797180175781193,1000
['GOOG;'],20y,44,39,3,0.5116279069767442,-103.0855036054341,1000
['FB;'],1y,1,2,0,0.3333333333333333,-48.065691266741055,1000
['FB;'],5y,14,5,0,0.7368421052631579,259.65146092006165,1000
['FB;'],10y,25,13,1,0.6410256410256411,437.72422245570635,1000
['FB;'],20y,25,13,1,0.6410256410256411,437.72422245570635,1000
['NVDA;'],1y,0,4,0,0,-280.5017787388392,1000
['NVDA;'],5y,16,12,0,0.5714285714285714,299.75347954886274,1000
['NVDA;'],10y,28,23,2,0.5283018867924528,505.3841752682411,1000
['NVDA;'],20y,46,37,9,0.5,1082.4914078422948,1000
['UNH;'],1y,1,3,0,0.25,-57.92997959681918,1000
['UNH;'],5y,11,9,2,0.5,18.732859148298104,1000
['UNH;'],10y,28,21,3,0.5384615384615384,229.18167125156964,1000
['UNH;'],20y,52,34,4,0.5777777777777777,700.4374930790484,1000
['JNJ;'],1y,2,2,0,0.5,10.571419852120414,1000
['JNJ;'],5y,9,9,3,0.42857142857142855,12.996345193045357,1000
['JNJ;'],10y,18,20,4,0.42857142857142855,-35.326508113316265,1000
['JNJ;'],20y,32,30,7,0.463768115942029,122.82248556954471,1000
['XOM;'],1y,1,1,0,0.5,18.754317692347954,1000
['XOM;'],5y,9,4,1,0.6428571428571429,369.5465794699532,1000
['XOM;'],10y,13,11,2,0.5,299.56981724330353,1000
['XOM;'],20y,27,26,5,0.46551724137931033,189.3418883459911,1000
['PG;'],1y,3,1,0,0.75,36.74572099958141,1000
['PG;'],5y,12,7,2,0.5714285714285714,101.28887765066952,1000
['PG;'],10y,20,13,6,0.5128205128205128,183.6735184260778,1000
['PG;'],20y,39,23,10,0.5416666666666666,443.7858557019913,1000
['JPM;'],1y,2,1,0,0.6666666666666666,34.84281267438621,1000
['JPM;'],5y,8,7,3,0.4444444444444444,3.346977233886605,1000
['JPM;'],10y,20,13,6,0.5128205128205128,276.7031635284425,1000
['JPM;'],20y,40,26,7,0.547945205479452,630.2962244306296,1000
